examQuestionId,examId,section,module,route,questionNumber,examSequence,difficulty,responseType,questionText,answer,pictureKey,contentDomain,officialSkill,teachingTopic,answerExplanation,distractorRationale,passageWordCount,estimatedTimeSeconds,autoQAScore,reviewStatus,originalQuestionId,originalMockExam,originalRoute,sourceSimilarityMax,internalSimilarityMax,qaAnswerCheck,qaBlueprintMatch,sourceOutlineUrl,authoringNote
SAT_MOCK_EXAM_2-RW-M1-Q01,sat_mock_exam_2,Reading and Writing,M1,Common,1,1,Easy,Multiple Choice,"A research team studying rooftop gardens reported that shaded roofs required less energy for afternoon cooling. Rather than replacing local knowledge, the model is intended to _______ it. Which choice completes the text with the most logical and precise word or phrase?
A) supplement
B) invalidate
C) conceal
D) simplify",A,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “supplement”: supplement means add to.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,42,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q01,Mock B,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q02,sat_mock_exam_2,Reading and Writing,M1,Common,2,2,Easy,Multiple Choice,"A research team studying paper microfluidic tests reported that wax channels directed tiny liquid samples without pumps. The critic argues that the novel’s humor is _______: it amuses readers while exposing social pretensions. Which choice completes the text with the most logical and precise word or phrase?
A) accidental
B) satirical
C) literal
D) inconclusive",B,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “satirical”: satirical humor criticizes through wit.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,47,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q02,Mock B,Common,0,0.111,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q03,sat_mock_exam_2,Reading and Writing,M1,Common,3,3,Easy,Multiple Choice,"An initial survey of library tool collections produced an unexpected pattern: borrowers completed more home repairs when short demonstrations accompanied loans. To check whether the pattern was a measurement artifact, the researchers repeated the survey with newly calibrated equipment. The same pattern appeared again. Which choice best describes the function of the second sentence in the overall structure of the text?
A) It introduces a competing theory that the researchers ultimately accept.
B) It lists the consequences of applying the result outside the study.
C) It describes a step taken to test whether the initial result was reliable.
D) It explains why the researchers abandoned the initial survey.",C,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,The second sentence describes a replication check designed to rule out measurement error.,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",61,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q03,Mock B,Common,0,0.317,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q04,sat_mock_exam_2,Reading and Writing,M1,Common,4,4,Medium,Multiple Choice,"A research team studying forest sound recordings reported that automated classifiers detected rare frogs missed during daytime surveys. The sensor’s readings were so _______ that repeated measurements differed by less than one percent. Which choice completes the text with the most logical and precise word or phrase?
A) ordinary
B) flexible
C) delayed
D) precise",D,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “precise”: precise describes closely agreeing measurements.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,47,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q04,Mock B,Common,0,0.097,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q05,sat_mock_exam_2,Reading and Writing,M1,Common,5,5,Medium,Multiple Choice,"A common account of independent bookstores emphasizes cost and convenience. Recent work in economics, however, found that staff recommendation cards increased sales of unfamiliar authors. This result suggests that the subject’s value cannot be assessed by cost and convenience alone. Which choice best describes the overall structure of the text?
A) It presents a familiar way of evaluating a subject, introduces evidence that the evaluation is incomplete, and draws a broader conclusion.
B) It gives two unrelated descriptions and then chooses the older one.
C) It narrates a failed experiment and proposes repeating it without changes.
D) It defines a technical term and then lists several exceptions to the definition.",A,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,The text moves from a conventional account to evidence that complicates it and then states the implication.,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",50,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q05,Mock B,Common,0,0.25,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q06,sat_mock_exam_2,Reading and Writing,M1,Common,6,6,Medium,Multiple Choice,"Researchers in civil engineering examined school rain gardens. They found that shallow planted basins captured runoff from playgrounds. The team argues that the result identifies a practical condition that future projects should consider. Which choice best states the main purpose of the text?
A) To dispute the reliability of all earlier work in the field
B) To describe a study and explain the practical significance of its result
C) To provide a complete history of the subject
D) To argue that the subject should no longer be studied",B,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,"The text introduces a study, reports its result, and closes by identifying why that result matters in practice.","The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",43,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q06,Mock B,Common,0,0.234,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q07,sat_mock_exam_2,Reading and Writing,M1,Common,7,7,Hard,Multiple Choice,"A research team studying public chess tables reported that parks with permanent tables attracted longer intergenerational visits. The new evidence forced scholars to _______ the long-accepted timeline. Which choice completes the text with the most logical and precise word or phrase?
A) preserve
B) publicize
C) reconsider
D) complete",C,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “reconsider”: reconsider means think about again.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,41,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q07,Mock B,Common,0,0.133,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q08,sat_mock_exam_2,Reading and Writing,M1,Common,8,8,Hard,Multiple Choice,"Text 1
Text 1 argues that public art is valuable chiefly because it beautifies shared spaces.

Text 2
Text 2 studies murals that prompted residents to discuss neighborhood history.

Based on the texts, how would the author of Text 2 most likely respond to the claim in Text 1?
A) reject the topic as unworthy of further study
B) agree without adding any qualification or new evidence
C) argue that the evidence discussed in both texts is entirely irrelevant
D) broaden Text 1’s account by adding a social and historical function of public art",D,,Craft and Structure,Cross-Text Connections,推断一位作者会如何评价另一篇文本,Text 2 would broaden Text 1’s account by adding a social and historical function of public art.,The distractors overstate agreement or disagreement or ignore the specific qualification supplied by Text 2.,49,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q08,Mock B,Common,0.061,0.217,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q09,sat_mock_exam_2,Reading and Writing,M1,Common,9,9,Easy,Multiple Choice,"A team working in literary history investigated digital manuscript scans at several locations. Across the locations, multispectral images revealed ink hidden beneath later annotations. Although the strength of the pattern varied, it appeared in each location, suggesting that the result was not limited to a single site. Which choice best states the main idea of the text?
A) A multisite study of digital manuscript scans found a recurring pattern, though the pattern’s strength differed by location.
B) Researchers proved that every feature of digital manuscript scans is identical at all locations.
C) A study found no meaningful pattern involving digital manuscript scans.
D) Researchers studied digital manuscript scans at only one location and warned against comparison.",A,,Information and Ideas,Central Ideas and Details,识别主旨、核心观点和最恰当概括,The correct choice captures both the repeated result and the stated variation across locations.,"The distractors contradict the passage by claiming no pattern, a single site, or complete uniformity.",57,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q09,Mock B,Common,0,0.333,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q10,sat_mock_exam_2,Reading and Writing,M1,Common,10,10,Easy,Multiple Choice,"A study compared three approaches involving ice-core bubbles. The table shows the average score for each approach after one month. The researchers concluded that the modified approach produced the strongest one-month outcome. Which choice most effectively uses data from the table to support the researchers’ conclusion?
A) The standard approach scored 43, which was higher than the modified approach.
B) The modified approach had a score of 53, compared with 43 for the standard approach and 46 for the hybrid approach.
C) The hybrid and modified approaches had identical scores.
D) All three approaches scored below 38.",B,https://img.justsolvely.com/followUpImage/bfc8b5a1-f09c-40e2-9def-00e651f3a9b2-1786419951427-232.webp,Information and Ideas,Command of Evidence - Quantitative,将表格数据与文本主张对应,The modified approach has the highest value in the table (53).,Each distractor misreads or contradicts the displayed values.,46,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q10,Mock B,Common,0.016,0.639,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank. Figure rendered deterministically in a monochrome SAT-style format with Python and Matplotlib; no answer choice is color-emphasized.
